Name,Country,Height (cm),Weight (kg),Gender,Competition Time (s),Event Date,Competition,Position,Current Age,Competition Years,Best Time (s),IMC,Training Hours/Week,Last Injury,Entrenador,Historial de competencias,Nivel de Competencia,Categoria IMC
Emma McKeon,South Africa,167,98,1,49.61,28/09/2005,Olympic Games,6,30,5,50,35.1393,32,20/06/2022,Entrenador B,15 competencias,Olimpico,Obesidad
Maggie MacNeil,South Africa,176,83,1,52.81,28/07/2011,Pan Pacific Championships,5,25,6,39,26.79494,25,10/02/2023,Entrenador D,5 competencias,Olimpico,Sobrepeso
Kristof Milak,Hungary,184,82,0,55.92,23/06/2012,European Championships,6,24,7,40,24.22023,18,Sin lesiones,Entrenador C,20 competencias,Olimpico,Normal
Beryl Gastaldello,Sweden,188,74,1,56.57,23/10/2012,World Championships,7,26,8,35,20.93708,32,Sin lesiones,Entrenador B,15 competencias,Olimpico,Normal
Emma McKeon,China,197,63,1,54.01,02/11/2011,Swim USA,8,35,9,45,16.23335,15,Sin lesiones,Entrenador A,20 competencias,Olimpico,Bajo peso
Dana Vollmer,Singapore,183,94,1,54.83,02/11/2014,European Championships,3,39,10,33,28.06892,15,Sin lesiones,Entrenador D,20 competencias,Olimpico,Sobrepeso
Marie Wattel,China,168,81,1,55.1,27/05/2011,Pan Pacific Championships,7,22,12,34,28.69898,20,Sin lesiones,Entrenador B,20 competencias,Olimpico,Sobrepeso
Louise Hansson,Australia,188,88,1,57.98,19/06/2019,Swim USA,5,25,14,28,24.89814,22,01/11/2020,Entrenador B,20 competencias,Olimpico,Normal
Zhang Yufei,Hungary,172,93,1,55.91,26/10/2013,Swim USA,8,23,6,36,31.43591,27,20/06/2022,Entrenador C,5 competencias,Olimpico,Obesidad
Michael Phelps,Hungary,192,74,0,53.64,02/05/2008,Olympic Games,2,27,7,32,20.07378,32,15/01/2021,Entrenador A,10 competencias,Olimpico,Normal
Andrei Minakov,South Africa,166,83,0,55.9,06/09/2010,World Championships,4,20,10,30,30.12048,25,01/11/2020,Entrenador A,25 competencias,Olimpico,Obesidad
Dana Vollmer,Australia,166,62,1,50.11,10/03/2008,European Championships,4,31,9,50,22.49964,18,Sin lesiones,Entrenador D,25 competencias,Olimpico,Normal
Tom Shields,France,162,63,0,50.42,17/07/2007,European Championships,6,18,5,39,24.00549,32,Sin lesiones,Entrenador B,5 competencias,Olimpico,Normal
Emma McKeon,China,188,76,1,52.76,06/05/2007,Swim USA,8,28,6,40,21.50294,15,10/02/2023,Entrenador A,20 competencias,Olimpico,Normal
Caeleb Dressel,China,199,95,0,52.68,27/12/2008,European Championships,2,29,7,35,23.98929,15,01/11/2020,Entrenador A,20 competencias,Olimpico,Normal
Noe Ponti,USA,194,75,0,55.72,04/05/2005,Pan Pacific Championships,6,31,8,45,19.92773,20,15/01/2021,Entrenador D,20 competencias,Olimpico,Normal
