Name,Country,Height (cm),Weight (kg),Gender,Competition Time (s),Event Date,Competition,Position
Emma McKeon,South Africa,167,98,Female,49.61,2005-09-28,Olympic Games,6
Maggie MacNeil,South Africa,176,83,Female,52.81,2011-07-28,Pan Pacific Championships,5
Kristof Milak,Hungary,184,82,Male,55.92,2012-06-23,European Championships,6
Beryl Gastaldello,Sweden,188,74,Female,56.57,2012-10-23,World Championships,7
Emma McKeon,China,197,63,Female,54.01,2011-11-02,Swim USA,8
Dana Vollmer,Singapore,183,94,Female,54.83,2014-11-02,European Championships,3
Marie Wattel,China,168,81,Female,55.1,2011-05-27,Pan Pacific Championships,7
Louise Hansson,Australia,188,88,Female,57.98,2019-06-19,Swim USA,5
Zhang Yufei,Hungary,172,93,Female,55.91,2013-10-26,Swim USA,8
Michael Phelps,Hungary,192,74,Male,53.64,2008-05-02,Olympic Games,2
Andrei Minakov,South Africa,166,83,Male,55.9,2010-09-06,World Championships,4
Dana Vollmer,Australia,166,62,Female,50.11,2008-03-10,European Championships,4
Tom Shields,France,162,63,Male,50.42,2007-07-17,European Championships,6
Emma McKeon,China,188,76,Female,52.76,2007-05-06,Swim USA,8
Caeleb Dressel,China,199,95,Male,52.68,2008-12-27,European Championships,2
Noe Ponti,USA,194,75,Male,55.72,2005-05-04,Pan Pacific Championships,6
Michael Phelps,Japan,197,76,Male,51.35,2018-03-11,Pan Pacific Championships,7
Emma McKeon,Sweden,191,93,Female,49.65,2018-01-16,European Championships,1
Laszlo Cseh,China,171,80,Male,51.41,2007-09-20,European Championships,8
Louise Hansson,Japan,165,59,Female,54.59,2006-12-05,Olympic Games,5
Noe Ponti,Sweden,168,89,Male,53.21,2020-10-19,European Championships,4
Andrei Minakov,Singapore,165,91,Male,57.75,2017-04-02,Pan Pacific Championships,1
Claire Curzan,Singapore,183,92,Female,55.55,2019-12-06,Pan Pacific Championships,2
Tom Shields,USA,169,94,Male,53.71,2016-11-11,European Championships,4
Andrei Minakov,China,183,81,Male,50.68,2008-04-27,Olympic Games,6
Kristof Milak,Sweden,199,68,Male,57.9,2020-06-14,European Championships,2
Caeleb Dressel,USA,197,64,Male,51.07,2008-11-11,Olympic Games,4
Joseph Schooling,Japan,160,78,Male,54.67,2006-10-21,European Championships,8
Andrei Minakov,USA,192,99,Male,54.0,2013-01-19,European Championships,2
Claire Curzan,Singapore,174,91,Female,56.2,2016-09-19,Pan Pacific Championships,5
Takeshi Matsuda,Sweden,185,72,Male,57.87,2020-08-07,Pan Pacific Championships,1
Joseph Schooling,Hungary,198,68,Male,52.01,2018-04-25,Pan Pacific Championships,3
Takeshi Matsuda,Australia,160,81,Male,55.63,2019-09-20,Pan Pacific Championships,3
Michael Phelps,France,195,85,Male,49.27,2013-02-12,Swim USA,1
Sarah Sjostrom,Russia,166,63,Female,56.56,2019-01-26,Swim USA,8
Beryl Gastaldello,Singapore,166,65,Female,52.11,2021-05-16,World Championships,7
Marie Wattel,USA,184,63,Female,49.68,2015-09-07,European Championships,1
Dana Vollmer,South Africa,173,92,Female,54.63,2012-12-31,European Championships,6
Claire Curzan,China,169,61,Female,56.82,2008-08-13,European Championships,3
Michael Phelps,USA,186,100,Male,54.04,2006-01-31,European Championships,1
Laszlo Cseh,USA,170,89,Male,57.28,2006-05-20,Pan Pacific Championships,5
Laszlo Cseh,USA,200,55,Male,50.1,2017-07-05,European Championships,5
Laszlo Cseh,USA,166,91,Male,51.54,2016-07-20,World Championships,8
Takeshi Matsuda,Australia,197,91,Male,52.21,2019-11-14,Swim USA,7
